// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.13 sec)   *****
// Found 3 benchmarks:
//   BaseBenchmark.BasePingAsync: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomPingAsync: InProcess(Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: BaseBenchmark.BasePingAsync: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-VFKXKE(Toolchain=InProcessEmitToolchain)

WorkloadResult   9: 4194304 op, 509334300.00 ns, 121.4348 ns/op
WorkloadResult  10: 4194304 op, 511986100.00 ns, 122.0670 ns/op
WorkloadResult  11: 4194304 op, 505850600.00 ns, 120.6042 ns/op
WorkloadResult  12: 4194304 op, 505431200.00 ns, 120.5042 ns/op
WorkloadResult  13: 4194304 op, 505285800.00 ns, 120.4695 ns/op
WorkloadResult  14: 4194304 op, 506949500.00 ns, 120.8662 ns/op
WorkloadResult  15: 4194304 op, 505312000.00 ns, 120.4758 ns/op
GC:  32 0 0 603979776 4194304


Mean = 121.9088 ns, StdErr = 0.4001 ns (0.33%); N = 15, StdDev = 1.5495 ns
Min = 120.4695 ns, Q1 = 120.6042 ns, Median = 121.4348 ns, Q3 = 122.4630 ns, Max = 124.7551 ns
IQR = 1.8588 ns, LowerFence = 117.8160 ns, UpperFence = 125.2512 ns
ConfidenceInterval = [120.2523 ns; 123.5653 ns] (CI 99.9%), Margin = 1.6565 ns (1.36% of Mean)
Skewness = 0.9, Kurtosis = 2.23, MValue = 2

Successfully reverted power plan (GUID: 381b4222-f694-41f0-9685-ff5bb260df2e FriendlyName: Balanced)
// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\ActorFrameworkBenchmarks.BaseBenchmark-report.csv
  BenchmarkDotNet.Artifacts\results\ActorFrameworkBenchmarks.BaseBenchmark-report-github.md
  BenchmarkDotNet.Artifacts\results\ActorFrameworkBenchmarks.BaseBenchmark-report.html

// * Detailed results *
BaseBenchmark.BasePingAsync: InProcess(Toolchain=InProcessEmitToolchain)
Runtime = ; GC = 
Mean = 80.2355 ns, StdErr = 0.0696 ns (0.09%); N = 13, StdDev = 0.2510 ns
