// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.13 sec)   *****
// Found 3 benchmarks:
//   OrleansBenchmarks.OrleansPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
//   OrleansBenchmarks.OrleansPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=100]
//   OrleansBenchmarks.OrleansPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: OrleansBenchmarks.OrleansPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-UTASSH(Toolchain=InProcessEmitToolchain)

WorkloadWarmup   8: 128 op, 975833600.00 ns, 7.6237 ms/op
WorkloadWarmup   9: 128 op, 961768500.00 ns, 7.5138 ms/op

WorkloadActual   1: 128 op, 983702500.00 ns, 7.6852 ms/op
WorkloadActual   2: 128 op, 967247800.00 ns, 7.5566 ms/op
WorkloadActual   3: 128 op, 961790800.00 ns, 7.5140 ms/op
WorkloadActual   4: 128 op, 957232500.00 ns, 7.4784 ms/op
WorkloadActual   5: 128 op, 971423100.00 ns, 7.5892 ms/op
WorkloadActual   6: 128 op, 975140100.00 ns, 7.6183 ms/op
WorkloadActual   7: 128 op, 980792500.00 ns, 7.6624 ms/op
WorkloadActual   8: 128 op, 977002900.00 ns, 7.6328 ms/op
WorkloadActual   9: 128 op, 976467900.00 ns, 7.6287 ms/op
WorkloadActual  10: 128 op, 971056800.00 ns, 7.5864 ms/op
WorkloadActual  11: 128 op, 969975500.00 ns, 7.5779 ms/op
WorkloadActual  12: 128 op, 974608800.00 ns, 7.6141 ms/op
WorkloadActual  13: 128 op, 965614900.00 ns, 7.5439 ms/op
WorkloadActual  14: 128 op, 970418100.00 ns, 7.5814 ms/op
WorkloadActual  15: 128 op, 965762300.00 ns, 7.5450 ms/op

WorkloadResult   1: 128 op, 983700850.00 ns, 7.6852 ms/op
WorkloadResult   2: 128 op, 967246150.00 ns, 7.5566 ms/op
WorkloadResult   3: 128 op, 961789150.00 ns, 7.5140 ms/op
WorkloadResult   4: 128 op, 957230850.00 ns, 7.4784 ms/op
WorkloadResult   5: 128 op, 971421450.00 ns, 7.5892 ms/op
WorkloadResult   6: 128 op, 975138450.00 ns, 7.6183 ms/op
WorkloadResult   7: 128 op, 980790850.00 ns, 7.6624 ms/op
WorkloadResult   8: 128 op, 977001250.00 ns, 7.6328 ms/op
WorkloadResult   9: 128 op, 976466250.00 ns, 7.6286 ms/op
WorkloadResult  10: 128 op, 971055150.00 ns, 7.5864 ms/op
WorkloadResult  11: 128 op, 969973850.00 ns, 7.5779 ms/op
WorkloadResult  12: 128 op, 974607150.00 ns, 7.6141 ms/op
WorkloadResult  13: 128 op, 965613250.00 ns, 7.5439 ms/op
WorkloadResult  14: 128 op, 970416450.00 ns, 7.5814 ms/op
WorkloadResult  15: 128 op, 965760650.00 ns, 7.5450 ms/op
